st,2score,4score,2opt,4opt
de,75745,,1,
ri,112051,144505,1,1
ct,19282,202480,1,1
nh,7501,38770,1,1
ma,192657,149714,1,1
vt,644,14039,1,1
az,844817,968661,1,1
me,750,17912,1,1
nv,713154,600133,1,1
nj,1296,66317,1,1
wy,2,1603,1,
md,766,45633,1,
ut,1,124863,1,
nm,3,67260,,
or,67,11425,,
wa,47,266763,,
id,21,34405,,
sc,26,11823,,
nd,5,463,,
wv,333,9305,,
mt,13,2337,,
ca,925,801045,,
ny,152605,124240,1,
co,32,791,,
la,38,7812,,
sd,83,196,,
al,48,1571,,
fl,14,13668,,
pa,140,106786,,
wi,41,30301,,
ar,6,5130,,
ok,34,6245,,
ms,25,2585,,
mi,10,20784,,
mn,63,3721,,
oh,65,5126,,
in,258,7092,,
ne,17,85216,,
tn,42,6633,,
ia,4,2139,,
nc,7,4577,,
il,734,1033508,,
ks,14,5822,,
mo,112,6286,,
ky,6,13260,,
va,248,1421984,,
ga,88,6485,,
tx,2,11549,,
